loss,params,iteration,estimators,train_time
0.050385774185761734,"{'num_leaves': 126, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.5845451820124326, 'learning_rate': 0.018675872988718433, 'subsample': 1.0, 'colsample_bytree': 0.8604059584835744, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.5985119228590867, 'min_child_samples': 170, 'subsample_for_bin': 300000}",1,43,2.6666868770262226
0.042969716204899866,"{'num_leaves': 138, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.45121616279208887, 'learning_rate': 0.035742378218536576, 'subsample': 0.6614743075688195, 'colsample_bytree': 0.8970523178797932, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.5005020213127344, 'min_child_samples': 45, 'subsample_for_bin': 260000}",2,115,5.5752982730045915
0.05132584731746126,"{'num_leaves': 102, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.9836336562472392, 'learning_rate': 0.05565441586040854, 'subsample': 1.0, 'colsample_bytree': 0.8281037266643072, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.8878029074840853, 'min_child_samples': 125, 'subsample_for_bin': 220000}",3,16,2.043890323024243
0.5,"{'num_leaves': 118, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.0627262749115356, 'learning_rate': 0.07866054762015, 'subsample': 1.0, 'colsample_bytree': 0.7422968998593449, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.47827923423293384, 'min_child_samples': 415, 'subsample_for_bin': 140000}",4,1,1.540642975945957
0.06485055534198148,"{'num_leaves': 30, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.8946886330215067, 'learning_rate': 0.017934544496484815, 'subsample': 0.8731487506937664, 'colsample_bytree': 0.620649129448606, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.2092981310373776, 'min_child_samples': 260, 'subsample_for_bin': 20000}",5,345,6.249770191963762
0.05474272035618166,"{'num_leaves': 44, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.43702345115978314, 'learning_rate': 0.08783831758750019, 'subsample': 0.9699110051642057, 'colsample_bytree': 0.6077910448089742, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.16571225625681618, 'min_child_samples': 230, 'subsample_for_bin': 120000}",6,53,3.118746730964631
0.04852738266593959,"{'num_leaves': 112, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.37338116932867904, 'learning_rate': 0.019312347539552403, 'subsample': 0.8951244781172872, 'colsample_bytree': 0.8536451895837122, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.7926928706035059, 'min_child_samples': 175, 'subsample_for_bin': 200000}",7,122,6.347020176937804
0.06335219737810649,"{'num_leaves': 66, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.7792709409751215, 'learning_rate': 0.09300560371484937, 'subsample': 1.0, 'colsample_bytree': 0.8906963579804155, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.3479679339377224, 'min_child_samples': 175, 'subsample_for_bin': 100000}",8,9,1.5415854359744117
0.5,"{'num_leaves': 70, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.44076667329472063, 'learning_rate': 0.040118914534607024, 'subsample': 0.9985285847190133, 'colsample_bytree': 0.6673076386901536, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.8695100073452218, 'min_child_samples': 475, 'subsample_for_bin': 160000}",9,1,1.3316820870386437
0.5,"{'num_leaves': 34, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.5520827853417427, 'learning_rate': 0.017532163285674928, 'subsample': 0.5140566400846498, 'colsample_bytree': 0.7326787636533016, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.78739503162987, 'min_child_samples': 420, 'subsample_for_bin': 220000}",10,1,1.244042424019426
0.5,"{'num_leaves': 132, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.7234573267040174, 'learning_rate': 0.048936410244575575, 'subsample': 0.5211750033711255, 'colsample_bytree': 0.7878722696495764, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.17616663325172033, 'min_child_samples': 410, 'subsample_for_bin': 180000}",11,1,1.18818653607741
0.5,"{'num_leaves': 45, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.01708657132205149, 'learning_rate': 0.19551187838964745, 'subsample': 0.5170383307975128, 'colsample_bytree': 0.880683867295047, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.2878847550683644, 'min_child_samples': 435, 'subsample_for_bin': 240000}",12,1,1.182775662979111
0.04363107531015409,"{'num_leaves': 61, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.23383881520136884, 'learning_rate': 0.055447027994085955, 'subsample': 0.895813092308513, 'colsample_bytree': 0.890014582561619, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.9748302452710026, 'min_child_samples': 65, 'subsample_for_bin': 40000}",13,115,7.002847861964256
0.05737310726280609,"{'num_leaves': 102, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.6896940625642513, 'learning_rate': 0.019199675385015214, 'subsample': 0.7560708555481161, 'colsample_bytree': 0.9124225863241522, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.1916434813532829, 'min_child_samples': 225, 'subsample_for_bin': 200000}",14,186,6.755977908032946
0.055057754374044476,"{'num_leaves': 70, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.45276116373350317, 'learning_rate': 0.03565154266775181, 'subsample': 0.7661806376140439, 'colsample_bytree': 0.6220082377595529, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.41007410794253185, 'min_child_samples': 225, 'subsample_for_bin': 280000}",15,87,2.882844023988582
0.5,"{'num_leaves': 117, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.7063665010867298, 'learning_rate': 0.17232942613953312, 'subsample': 0.905149067692514, 'colsample_bytree': 0.6826115664358082, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.010598426894564361, 'min_child_samples': 485, 'subsample_for_bin': 120000}",16,1,1.3191857490455732
0.04473918893547757,"{'num_leaves': 114, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.5773835691302064, 'learning_rate': 0.011767912024933956, 'subsample': 1.0, 'colsample_bytree': 0.853102917239426, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.3369787449812449, 'min_child_samples': 110, 'subsample_for_bin': 40000}",17,50,2.604544428992085
0.0466897028540435,"{'num_leaves': 67, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.9616204046171472, 'learning_rate': 0.03598378193909862, 'subsample': 0.5253657477796922, 'colsample_bytree': 0.7706879189819607, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9645612747608906, 'min_child_samples': 135, 'subsample_for_bin': 60000}",18,135,4.384936451097019
0.30065100325129124,"{'num_leaves': 112, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.09460288039448272, 'learning_rate': 0.10875645732896141, 'subsample': 0.7153773885862027, 'colsample_bytree': 0.8464791720356762, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.002436386070584051, 'min_child_samples': 380, 'subsample_for_bin': 180000}",19,54,3.406492633977905
0.04667189674543093,"{'num_leaves': 66, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.5854944753883532, 'learning_rate': 0.06644368221542607, 'subsample': 1.0, 'colsample_bytree': 0.6048404419661536, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.776616518870496, 'min_child_samples': 85, 'subsample_for_bin': 300000}",20,10,1.8818883830681443
0.04413106189969562,"{'num_leaves': 146, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.2653362511518287, 'learning_rate': 0.026033024221030696, 'subsample': 0.6786886701166054, 'colsample_bytree': 0.9838599975867146, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.6155821240075453, 'min_child_samples': 45, 'subsample_for_bin': 260000}",21,189,7.229927912005223
